taxon	sequenceID	name	subgenus	isolate	orientation	country	sample_date
alignment/AL_BLV/member/ncbi-curated-blv/AP019584	AP019584	-	-	-	-	Japan	-
alignment/AL_BLV/member/ncbi-curated-blv/AP019585	AP019585	-	-	-	-	Japan	-
alignment/AL_BLV/member/ncbi-curated-blv/AP019586	AP019586	-	-	-	-	Japan	-
alignment/AL_BLV/member/ncbi-curated-blv/AP019587	AP019587	-	-	-	-	Japan	-
alignment/AL_BLV/member/ncbi-curated-blv/AP019588	AP019588	-	-	-	-	Japan	-
alignment/AL_BLV/member/ncbi-curated-blv/AP019589	AP019589	-	-	-	-	Japan	-
alignment/AL_BLV/member/ncbi-curated-blv/AP019590	AP019590	-	-	-	-	Japan	-
alignment/AL_BLV/member/ncbi-curated-blv/AP019591	AP019591	-	-	-	-	Japan	-
alignment/AL_BLV/member/ncbi-curated-blv/AP019592	AP019592	-	-	-	-	Japan	-
alignment/AL_BLV/member/ncbi-curated-blv/AP019593	AP019593	-	-	-	-	Japan	-
alignment/AL_BLV/member/ncbi-curated-blv/AP019594	AP019594	-	-	-	-	Japan	-
alignment/AL_BLV/member/ncbi-curated-blv/AP019595	AP019595	-	-	-	-	Japan	-
alignment/AL_BLV/member/ncbi-curated-blv/AP019596	AP019596	-	-	-	-	Japan	-
alignment/AL_BLV/member/ncbi-curated-blv/AP019597	AP019597	-	-	-	-	Japan	-
alignment/AL_BLV/member/ncbi-curated-blv/AP019598	AP019598	-	-	-	-	Japan	-
alignment/AL_BLV/member/ncbi-curated-blv/AY277948	AY277948	-	-	384	-	Brazil: Pedro Leopoldo, Minas Gerais State	-
alignment/AL_BLV/member/ncbi-curated-blv/AY589727	AY589727	-	-	30	-	-	-
alignment/AL_BLV/member/ncbi-curated-blv/D00647	D00647	-	-	Australian isolate	-	-	-
alignment/AL_BLV/member/ncbi-curated-blv/EF600696	EF600696	-	-	-	-	-	-
alignment/AL_BLV/member/ncbi-curated-blv/FJ914764	FJ914764	-	-	-	-	Argentina	-
alignment/AL_BLV/member/ncbi-curated-blv/HE967301	HE967301	-	-	LS1	-	Uruguay	-
alignment/AL_BLV/member/ncbi-curated-blv/HE967302	HE967302	-	-	LS2	-	Uruguay	-
alignment/AL_BLV/member/ncbi-curated-blv/HE967303	HE967303	-	-	LS3	-	Uruguay	-
alignment/AL_BLV/member/ncbi-refseqs/K02120	K02120	BLV	Ungulate	-	Bos taurus	-	-
alignment/AL_BLV/member/ncbi-curated-blv/KF154971	KF154971	-	-	-	-	Argentina	-
alignment/AL_BLV/member/ncbi-curated-blv/KT122858	KT122858	-	-	YR2	-	Belgium	-
alignment/AL_BLV/member/ncbi-curated-blv/LC005615	LC005615	-	-	-	-	Japan	-
alignment/AL_BLV/member/ncbi-curated-blv/LC005616	LC005616	-	-	-	-	Japan	-
alignment/AL_BLV/member/ncbi-curated-blv/LC057268	LC057268	-	-	-	-	Japan	-
alignment/AL_BLV/member/ncbi-curated-blv/LC080651	LC080651	-	-	-	-	Paraguay	-
alignment/AL_BLV/member/ncbi-curated-blv/LC080652	LC080652	-	-	-	-	Paraguay	-
alignment/AL_BLV/member/ncbi-curated-blv/LC080653	LC080653	-	-	-	-	Paraguay	-
alignment/AL_BLV/member/ncbi-curated-blv/LC080654	LC080654	-	-	-	-	Peru	-
alignment/AL_BLV/member/ncbi-curated-blv/LC080655	LC080655	-	-	-	-	Paraguay	-
alignment/AL_BLV/member/ncbi-curated-blv/LC080656	LC080656	-	-	-	-	Paraguay	-
alignment/AL_BLV/member/ncbi-curated-blv/LC080657	LC080657	-	-	-	-	Paraguay	-
alignment/AL_BLV/member/ncbi-curated-blv/LC080658	LC080658	-	-	-	-	Paraguay	-
alignment/AL_BLV/member/ncbi-curated-blv/LC080659	LC080659	-	-	-	-	Bolivia	-
alignment/AL_BLV/member/ncbi-curated-blv/LC080660	LC080660	-	-	-	-	Bolivia	-
alignment/AL_BLV/member/ncbi-curated-blv/LC080661	LC080661	-	-	-	-	Bolivia	-
alignment/AL_BLV/member/ncbi-curated-blv/LC080662	LC080662	-	-	-	-	Bolivia	-
alignment/AL_BLV/member/ncbi-curated-blv/LC080663	LC080663	-	-	-	-	Bolivia	-
alignment/AL_BLV/member/ncbi-curated-blv/LC080664	LC080664	-	-	-	-	Bolivia	-
alignment/AL_BLV/member/ncbi-curated-blv/LC080665	LC080665	-	-	-	-	Bolivia	-
alignment/AL_BLV/member/ncbi-curated-blv/LC080666	LC080666	-	-	-	-	Bolivia	-
alignment/AL_BLV/member/ncbi-curated-blv/LC080667	LC080667	-	-	-	-	Bolivia	-
alignment/AL_BLV/member/ncbi-curated-blv/LC080668	LC080668	-	-	-	-	Bolivia	-
alignment/AL_BLV/member/ncbi-curated-blv/LC080669	LC080669	-	-	-	-	Bolivia	-
alignment/AL_BLV/member/ncbi-curated-blv/LC080670	LC080670	-	-	-	-	Bolivia	-
alignment/AL_BLV/member/ncbi-curated-blv/LC080671	LC080671	-	-	-	-	Bolivia	-
alignment/AL_BLV/member/ncbi-curated-blv/LC080672	LC080672	-	-	-	-	Bolivia	-
alignment/AL_BLV/member/ncbi-curated-blv/LC080673	LC080673	-	-	-	-	Bolivia	-
alignment/AL_BLV/member/ncbi-curated-blv/LC080674	LC080674	-	-	-	-	Bolivia	-
alignment/AL_BLV/member/ncbi-curated-blv/LC080675	LC080675	-	-	-	-	Bolivia	-
alignment/AL_BLV/member/ncbi-curated-blv/LC154848	LC154848	-	-	-	-	Myanmar	-
alignment/AL_BLV/member/ncbi-curated-blv/LC154849	LC154849	-	-	-	-	Myanmar	-
alignment/AL_BLV/member/ncbi-curated-blv/LC164083	LC164083	-	-	-	-	-	-
alignment/AL_BLV/member/ncbi-curated-blv/LC164084	LC164084	-	-	-	-	Japan	-
alignment/AL_BLV/member/ncbi-curated-blv/LC164085	LC164085	-	-	-	-	Japan	-
alignment/AL_BLV/member/ncbi-curated-blv/LC164086	LC164086	-	-	-	-	Japan	-
alignment/AL_BLV/member/ncbi-curated-blv/LC193727	LC193727	-	-	-	-	Iran	-
alignment/AL_BLV/member/ncbi-curated-blv/LC433846	LC433846	-	-	-	-	-	-
alignment/AL_BLV/member/ncbi-curated-blv/LC436098	LC436098	-	-	-	-	-	-
alignment/AL_BLV/member/ncbi-curated-blv/M10987	M10987	-	-	-	-	-	-
alignment/AL_BLV/member/ncbi-curated-blv/MF580990	MF580990	-	-	-	-	China	-
alignment/AL_BLV/member/ncbi-curated-blv/MF580991	MF580991	-	-	-	-	China	-
alignment/AL_BLV/member/ncbi-curated-blv/MF580992	MF580992	-	-	-	-	China	-
alignment/AL_BLV/member/ncbi-curated-blv/MF580993	MF580993	-	-	-	-	China	-
alignment/AL_BLV/member/ncbi-curated-blv/MF580994	MF580994	-	-	-	-	China	-
alignment/AL_BLV/member/ncbi-curated-blv/MF580995	MF580995	-	-	-	-	China	-
alignment/AL_BLV/member/ncbi-curated-blv/MG800834	MG800834	-	-	CHI-DQ	-	China	-
alignment/AL_BLV/member/ncbi-curated-blv/MG800835	MG800835	-	-	G221	-	China	-
alignment/AL_BLV/member/ncbi-curated-blv/MG800836	MG800836	-	-	G225	-	China	-
alignment/AL_BLV/member/ncbi-curated-blv/MG800837	MG800837	-	-	G235	-	China	-
alignment/AL_BLV/member/ncbi-curated-blv/MH170027	MH170027	-	-	V50F13	-	Viet Nam	-
alignment/AL_BLV/member/ncbi-curated-blv/MH170028	MH170028	-	-	S6F15	-	Viet Nam	-
alignment/AL_BLV/member/ncbi-curated-blv/MH170029	MH170029	-	-	S9F16	-	Viet Nam	-
alignment/AL_BLV/member/ncbi-curated-blv/MH170030	MH170030	-	-	S38F21	-	Viet Nam	-
alignment/AL_BLV/member/ncbi-curated-blv/MN966696	MN966696	-	-	Afrivet:K1170	-	South Africa: Port Elizabeth	-
alignment/AL_BLV/member/ncbi-curated-blv/MN966697	MN966697	-	-	Afrivet:K1194	-	South Africa: Port Elizabeth	-
alignment/AL_BLV/member/ncbi-curated-blv/MN966698	MN966698	-	-	Afrivet:L3401	-	South Africa: Port Elizabeth	-
alignment/AL_BLV/member/ncbi-curated-blv/MN966699	MN966699	-	-	Afrivet:M1878	-	South Africa: Port Elizabeth	-
alignment/AL_BLV/member/ncbi-curated-blv/MN966700	MN966700	-	-	Afrivet:M2746	-	South Africa: Port Elizabeth	-
alignment/AL_BLV/member/ncbi-curated-blv/MN966701	MN966701	-	-	Afrivet:P2152	-	South Africa: Port Elizabeth	-
alignment/AL_BLV/member/ncbi-curated-blv/MN966702	MN966702	-	-	Afrivet:P2677	-	South Africa: Port Elizabeth	-
alignment/AL_BLV/member/ncbi-curated-blv/MN966703	MN966703	-	-	Afrivet:P591	-	South Africa: Port Elizabeth	-
alignment/AL_BLV/member/ncbi-curated-blv/NC_001414	NC_001414	-	-	-	-	-	-
